ID,Nome,Link,Imagem1,Imagem2,Imagem3,Imagem4,Marca,Modelo,Ano,Km,Motor,Cilindros,Potência,Torque,Cambio,Combustivel,Tração,Portas,Carroceria,Local,Preco,Condição,Descrição
1,Dodge Challenger R/T,https://example.com,blue1.jpg,blue2.jpg,blue3.jpg,blue4.jpg,Dodge,Challenger R/T,2023,0 km,V8 5.7L HEMI,8,"	375 hp",410 lb-ft,Automático,Gasolina,Traseira,2,"	Coupé",Store A,R$ 559.000,Novo,"Dodge Challenger R/T 2023 — o clássico muscle car americano com motor V8 HEMI 5.7L, entrega 375 cavalos de potência e 410 lb-ft de torque. Essa versão é a mais pura essência do Challenger, sem pacote Widebody ou Scat Pack, mantendo o visual limpo, agressivo e fiel ao original. Conta com câmbio automático de 8 marchas, rodas aro 20"", escapamento duplo esportivo e interior com acabamento premium. Um ícone que une tradição, performance e presença marcante nas ruas."
2,Ford F-150 Shelby Super Snake,https://example.com,Red1.jpg,Red2.jpg,Red3.jpg,Red4.jpg,Ford,Shelby Super Snake,2023,0 km,"	V8 5.0L Supercharged",8,775 hp,410 lb-ft,Automático,Gasolina,4x4,4,Pick-up,Store A,R$ 650.100,Novo,"Ford F-150 Shelby Super Snake 2023 — uma pick-up com DNA de supercarro. Equipado com motor V8 5.0L Supercharged de 775 hp, essa F-150 entrega performance brutal com tração 4x4 e escapamento esportivo que canta alto. Design Shelby exclusivo com capô ventilado, rodas aro 22"", para-choques esportivos, suspensão rebaixada e detalhes em fibra de carbono. Interior com couro premium, painel Shelby e sistema multimídia completo. É força, estilo e exclusividade sobre rodas — a pick-up dos seus sonhos."
3,Dodge Challenger SRT Hellcat,https://example.com,gray3.jpg,gray1.jpg,gray2.jpg,gray4.jpg,Dodge,Challenger SRT Hellcat,2023,0 km,V8 6.2L Supercharged,8,717 hp,656 lb-ft,Automático,Gasolina,Traseira,2,"	Coupé",Store A,R$ 900.101,Novo,"Dodge Challenger SRT Hellcat 2023 — o muscle car mais selvagem das ruas. Com seu motor V8 6.2L Supercharged, o Hellcat despeja 717 hp e 656 lb-ft de torque, acelerando de 0 a 100 km/h em 3,5 segundos. O ronco do supercharger é inconfundível e viciante. Visual imponente com capô com scoop funcional, rodas largas, aerofólio traseiro e interior com bancos esportivos em couro e Alcântara. Sistema Uconnect 8.4"", launch control, modos de condução personalizados e painel iluminado em vermelho. Se é emoção que você busca, o Hellcat entrega com gosto."
4,Dodge Challenger T/A,https://example.com,blue1.jpg,blue2.jpg,blue3.jpg,blue4.jpg,Dodge,Challenger T/A,2023,0 km,V8 5.7L HEMI,8,375 hp,412 lb-ft,Automático,Gasolina,Traseira,2,"	Coupé",Store A,R$ 650.102,Novo,"Dodge Challenger T/A 2023 — uma homenagem moderna aos muscle cars clássicos dos anos 70. Equipado com motor V8 5.7L HEMI de 375 hp, o T/A se destaca pelo visual exclusivo: capô preto fosco funcional com scoop, faixas laterais retrô, emblemas “T/A”, escapamento duplo esportivo e rodas aro 20"" pretas. Suspensão esportiva, sistema de exaustão ativo e modo Sport garantem emoção ao volante. Um muscle car para quem respeita a história e acelera com estilo."
5,Corvette Stingray 2025,https://example.com,corvette1.jpg,corvette2.jpg,corvette3.jpg,corvette4.jpg,Chevrolet,Corvette Stingray,2025,0 km,V8 6.2L,8,495 hp,470 lb-ft,Automático,Gasolina,Traseira,2,"	Coupé",Store A,R$ 939.000,Novo,"Corvette Stingray 2025 — o esportivo americano reinventado. Equipado com motor V8 6.2L central traseiro, o novo Stingray entrega 495 hp e aceleração de 0 a 100 km/h em menos de 3 segundos. Design arrojado, faróis full LED, escapamento quádruplo, rodas aro 19/20” e interior com acabamento em couro e fibra de carbono. Tela digital de 12”, sistema Bose, câmbio de dupla embreagem e seletor de modos de condução completam a experiência. Um superesportivo que une tradição e inovação com presença imponente."
6,Mercedes-AMG SL63 Conversível,https://example.com,lamborghini1.jpg,lamborghini2.jpg,lamborghini3.jpg,lamborghini4.jpg,Mercedes-Benz,SL63 AMG,2024,0 km,V8 4.0L Biturbo,"	8",585 hp,800 Nm,Automático,Gasolina,AWD,2,Conversível,Store D,R$ 2.000.000,Novo,"Mercedes-AMG SL63 Conversível 2024 — esportividade e luxo sem teto. Com motor V8 4.0L Biturbo de 585 hp, tração integral 4MATIC+ e câmbio AMG Speedshift, o SL63 entrega performance de supercarro com conforto de alta classe. Capota elétrica, interior em couro Nappa, multimídia MBUX com comando por voz e modos de condução AMG. Um conversível que vai do elegante ao selvagem em segundos. Topa acelerar com estilo?"
7,GMC Hummer EV SUV 2024,https://example.com,hummer1.jpg,hummer2.jpg,hummer3.jpg,hummer4.jpg,GMC,Hummer EV SUV,2024,0 km,3 Motores Elétricos,-,"	830 hp",11.500 lb-ft,Automático,Elétrico,Traseira,4,SUV,Store A,R$ 280.000,Novo,"GMC Hummer EV SUV 2024 — o SUV elétrico mais bruto do planeta. São 830 hp e torque absurdo de 11.500 lb-ft, com aceleração de 0 a 100 km/h em apenas 3,5 segundos. Tração integral com 3 motores, modo CrabWalk (movimento lateral), suspensão adaptativa, rodas gigantes e teto removível. Autonomia de até 500 km e carregamento ultrarrápido. A Hummer EV combina tecnologia futurista com pegada off-road extrema. É mais que um SUV, é uma lenda reimaginada."
8,Toyota Land Cruiser ZX 300 ,https://example.com,ferrari1.jpg,ferrari2.jpg,ferrari3.jpg,ferrari4.jpg,Toyota, Land Cruiser ZX 300 ,2023,0 km,V6 3.3L Twin Turbo ,6,"	309 hp","	700 Nm",Automático,Diesel,"	4x4",5,SUV,Store E,R$ 2.500.000,Novo,"Toyota Land Cruiser ZX 300 — o rei das trilhas agora mais moderno e luxuoso. Motor V6 3.3L biturbo diesel com 700 Nm de torque, câmbio automático, tração 4x4 inteligente e suspensão adaptativa. Interior refinado com bancos em couro ventilados, central multimídia de 12"", assistentes de condução e espaço para toda a família. A ZX 300 é robustez, tecnologia e conforto num só SUV — pronta pro asfalto e pra qualquer terreno selvagem."
9,Tesla Cybertruck ,https://example.com,cybertruck1.jpg,cybertruck2.jpg,cybertruck3.jpg,cybertruck4.jpg,Tesla,Cybertruck,2024,0 km,Elétrico,-,800 hp,1000 lb-ft,Automático,Elétrico,AWD,4,Pick-up,Store F,R$ 999.000,Novo,"Tesla Cybertruck Beast 2024 — o futuro do off-road chegou. Com design arrojado e estrutura em aço ultra resistente, o Cybertruck combina força, desempenho e tecnologia de ponta. Equipado com tração nas quatro rodas (AWD), acelera de 0 a 100 km/h em menos de 3 segundos graças aos seus 800 cavalos e torque brutal de 1000 lb-ft. Autonomia superior a 800 km, piloto automático avançado, painel digital minimalista e suspensão a ar ajustável para todos os terrenos. Ideal para quem quer potência, sustentabilidade e estilo futurista."
10,Cadillac Escalade ESV 2025,https://example.com,escalade1.jpg,escalade2.jpg,escalade3.jpg,escalade4.jpg,Cadillac,Escalade ESV,2025,0km,V8 6.2L,8,420 hp,460lb-ft,Automático,Gasolina,AWD,4,SUV,store,R$ 1.399.000,Novo,"Cadillac Escalade ESV 2025 — luxo, tecnologia e presença em um só SUV. Equipado com motor V8 6.2L de 420 cavalos e tração integral (AWD), o Escalade oferece conforto premium com suspensão adaptativa, 3 fileiras de bancos e interior em couro com detalhes em madeira. Tela OLED curva de 38"" polegadas, sistema de som AKG com 36 alto-falantes, assistente de estacionamento automático, e direção semi-autônoma com Super Cruise. Ideal para quem exige espaço, potência e sofisticação."
